"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\ai-engine\NlpJs.ts", "TypeScript", 64, 7, 13, 84
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\ai-engine\TensorFlowJs.ts", "TypeScript", 76, 8, 18, 102
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\ai-engine\TesseractJs.ts", "TypeScript", 30, 8, 5, 43
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\ai-engine\__tests__\NlpJs.test.ts", "TypeScript", 81, 7, 18, 106
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\ai-engine\__tests__\TensorFlowJs.test.ts", "TypeScript", 40, 1, 8, 49
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\ai-engine\__tests__\TesseractJs.test.ts", "TypeScript", 22, 0, 9, 31
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\index.ts", "TypeScript", 5, 5, 1, 11
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\lib\Const.ts", "TypeScript", 236, 7, 15, 258
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\lib\Convert.ts", "TypeScript", 91, 11, 16, 118
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\lib\Helper.ts", "TypeScript", 47, 7, 9, 63
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\lib\Logger.ts", "TypeScript", 78, 6, 17, 101
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\lib\SqlQueryHelper.ts", "TypeScript", 159, 8, 27, 194
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\lib\StringHelper.ts", "TypeScript", 13, 5, 2, 20
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\lib\TypeHelper.ts", "TypeScript", 33, 5, 5, 43
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\lib\__tests__\Convert.test.ts", "TypeScript", 223, 28, 32, 283
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\lib\__tests__\SqlQueryHelper.test.ts", "TypeScript", 90, 16, 13, 119
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\providers\content\CommonContent.ts", "TypeScript", 19, 10, 6, 35
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\providers\content\CsvContent.ts", "TypeScript", 43, 6, 9, 58
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\providers\content\JsonContent.ts", "TypeScript", 42, 9, 9, 60
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\providers\content\__tests__\CsvContent.test.ts", "TypeScript", 115, 0, 23, 138
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\providers\content\__tests__\JsonContent.test.ts", "TypeScript", 106, 0, 24, 130
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\providers\data\CommonDataProvider.ts", "TypeScript", 116, 15, 23, 154
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\providers\data\CommonSqlDataProvider.ts", "TypeScript", 49, 5, 11, 65
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\providers\data\FilesDataProvider.ts", "TypeScript", 258, 10, 48, 316
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\providers\data\MemoryDataProvider.ts", "TypeScript", 171, 8, 38, 217
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\providers\data\MetalDataProvider.ts", "TypeScript", 241, 7, 47, 295
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\providers\data\MongoDbDataProvider.ts", "TypeScript", 251, 11, 46, 308
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\providers\data\PlanDataProvider.ts", "TypeScript", 113, 8, 18, 139
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\providers\data\PostgresDataProvider.ts", "TypeScript", 174, 5, 37, 216
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\providers\data\SqlServerDataProvider.ts", "TypeScript", 176, 5, 33, 214
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\providers\storage\AzureBlobStorage.ts", "TypeScript", 65, 6, 18, 89
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\providers\storage\CommonStorage.ts", "TypeScript", 43, 18, 14, 75
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\providers\storage\FsStorage.ts", "TypeScript", 35, 6, 8, 49
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\providers\storage\__tests__\FsStorage.test.ts", "TypeScript", 53, 1, 20, 74
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\response\CacheResponse.ts", "TypeScript", 72, 5, 12, 89
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\response\PlanResponse.ts", "TypeScript", 15, 5, 5, 25
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\response\ScheduleResponse.ts", "TypeScript", 24, 6, 2, 32
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\response\SchemaResponse.ts", "TypeScript", 162, 7, 12, 181
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\response\ServerResponse.ts", "TypeScript", 68, 5, 12, 85
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\response\UserResponse.ts", "TypeScript", 99, 7, 14, 120
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\routes\CacheRouter.ts", "TypeScript", 26, 6, 8, 40
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\routes\PlanRouter.ts", "TypeScript", 19, 6, 3, 28
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\routes\ScheduleRouter.ts", "TypeScript", 24, 6, 4, 34
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\routes\SchemaRouter.ts", "TypeScript", 37, 7, 3, 47
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\routes\ServerRouter.ts", "TypeScript", 15, 5, 3, 23
"c:\Users\Administrator\OneDrive\Projets\Metl\metal-server\src\routes\UserRouter.ts", "TypeScript", 24, 5, 4, 33
